ID;Модуль;Название теста;Предусловие;Шаги;Ожидаемый результат;Фактический результат;Статус;Приоритет;Автоматизация;Причина непокрытия
9.1;Навигация;Переход на экран Главная;Пользователь авторизован. Приложение запущено;1. Кликнуть на кнопку меню (гамбургер)\n2. Выбрать пункт "Главная";Открывается главный экран приложения (Dashboard);Открывается главный экран приложения (Dashboard);Passed;High;Yes;
9.2;Навигация;Переход в раздел Новости;Пользователь авторизован. Приложение запущено;1. Кликнуть на кнопку меню (гамбургер)\n2. Выбрать пункт "Новости";Открывается раздел со списком новостей;Открывается раздел со списком новостей;Passed;High;Yes;
9.3;Навигация;Переход на страницу О приложении;Пользователь авторизован. Приложение запущено;1. Кликнуть на кнопку меню (гамбургер)\n2. Выбрать пункт "О приложении";Открывается страница "О приложении" с информацией о версии и разработчике;Открывается страница "О приложении";Passed;High;Yes;
9.4;Навигация;Открытие ссылки Политика конфиденциальности;Пользователь авторизован. Открыта страница О приложении;1. Кликнуть на ссылку "Политика конфиденциальности";Ссылка открывается в системном браузере, отображается тестовая страница политики конфиденциальности;Ссылка открывается в системном браузере, отображается тестовая страница политики конфиденциальности;Passed;Medium;No;
9.5;Навигация;Открытие ссылки Пользовательское соглашение;Пользователь авторизован. Открыта страница О приложении;1. Кликнуть на ссылку "Пользовательское соглашение";Ссылка открывается в системном браузере, отображается тестовая страница пользовательского соглашения;Ссылка открывается в системном браузере, отображается тестовая страница пользовательского соглашения;Passed;Medium;No;
9.6;Навигация;Работа системной кнопки "Назад";Пользователь авторизован. Открыт любой внутренний экран приложения;1. Находясь на внутреннем экране (например, Новости или О приложении), нажать системную кнопку "Назад" на устройстве;Происходит возврат на предыдущий экран в стеке навигации;Происходит возврат на предыдущий экран;Passed;High;Yes;
9.7;Навигация;Проверка отображения страницы "Цитаты";Пользователь авторизован. Приложение запущено;1. Кликнуть на кнопку с иконкой бабочки\n2. Дождаться загрузки страницы;Страница "Цитаты" успешно загружается, текст отображается корректно, верстка не нарушена;Страница загружается корректно, верстка не нарушена;Passed;Medium;Yes;
10.1;Состояния;Поворот экрана;Пользователь авторизован. Приложение открыто на любом экране;1. Открыть целевой экран\n2. Повернуть устройство из портретной в ландшафтную ориентацию (и обратно);Интерфейс корректно перестраивается под новую ориентацию без потери данных и сбоев;Интерфейс корректно перестраивается под новую ориентацию без потери данных и сбоев;Passed;Low;No;Низкий ROI для автоматизации: проверка визуальной адаптации и верстки эффективнее выполняется вручную. Автотесты на UI-лейауты требуют сложной настройки эмуляторов и часто дают ложные срабатывания.
10.2;Состояния;Сворачивание приложения при создании новости;Пользователь авторизован. Открыт экран создания новости, часть полей заполнена;1. Заполнить несколько полей\n2. Нажать кнопку Home для сворачивания приложения\n3. Подождать 10-15 секунд\n4. Вернуться в приложение;Приложение восстанавливается на экране создания, все введенные данные сохранены, сброса формы или крашей не происходит;Приложение восстанавливается на экране создания, все введенные данные сохранены, сброса формы или крашей не происходит;Passed;Medium;No;Тестирование жизненного цикла ОС (onPause/onResume) нестабильно в UI-автотестах. Риск ложных падений из-за таймингов и фоновых процессов системы выше, чем польза от автоматизации.
10.3;Состояния;Сворачивание приложения при редактировании новости;Пользователь авторизован. Открыт экран редактирования новости, внесены изменения;1. Изменить данные в полях\n2. Нажать кнопку Home для сворачивания приложения\n3. Подождать 10-15 секунд\n4. Вернуться в приложение;Приложение восстанавливается на экране редактирования, все изменения сохранены, сброса формы или крашей не происходит;Приложение восстанавливается на экране редактирования, все изменения сохранены, сброса формы или крашей не происходит;Passed;Medium;No;Тестирование жизненного цикла ОС (onPause/onResume) нестабильно в UI-автотестах. Проверка сохранения состояния формы надежнее выполняется вручную.
10.4;Состояния;Потеря интернет-соединения при сохранении новости;Пользователь авторизован. Открыт экран создания/редактирования, поля заполнены;1. Отключить интернет на устройстве\n2. Кликнуть на кнопку Сохранить\n3. Дождаться реакции приложения;Появляется сообщение об ошибке подключения, данные не отправляются, форма остаётся открытой с сохранённым вводом;Появляется сообщение об ошибке подключения, данные не отправляются, форма остаётся открытой с сохранённым вводом;Passed;Medium;No;Симуляция реального обрыва сети в UI-автотестах требует сложной настройки (Network Shaping/Mocking). Ручная проверка через «Режим полета» быстрее, надежнее и исключает ложные срабатывания.
